MLP Model Training Log
============================================================
hidden_dims: [256, 128, 64], dropout: 0.2
============================================================

Epoch, Train Loss, Val Loss, Test Loss
1,2.881329e-03,9.210768e-04,7.200578e-04
2,1.001064e-03,8.187170e-04,7.551752e-04
3,6.274884e-04,4.533371e-04,4.334610e-04
4,5.270792e-04,3.144608e-04,3.823513e-04
5,5.128758e-04,3.692841e-04,4.536767e-04
6,3.839259e-04,3.126252e-04,3.822512e-04
7,3.717265e-04,3.444873e-04,4.387332e-04
8,2.814946e-04,2.857747e-04,3.889174e-04
9,3.193651e-04,2.445872e-04,3.213425e-04
10,2.068846e-04,2.919442e-04,3.562402e-04
11,2.312436e-04,2.581023e-04,3.505699e-04
12,2.202247e-04,2.304834e-04,3.262688e-04
13,2.116217e-04,2.328799e-04,3.047381e-04
14,1.788793e-04,2.426919e-04,3.138414e-04
15,1.779550e-04,2.522985e-04,3.246892e-04
16,2.030462e-04,2.547788e-04,3.178445e-04
17,1.633735e-04,2.620129e-04,3.262109e-04
18,1.562692e-04,2.637541e-04,3.373771e-04
19,1.527633e-04,2.696422e-04,3.182991e-04
