MLP Model Training Log
============================================================
hidden_dims: [256, 128, 64], dropout: 0.2
============================================================

Epoch, Train Loss, Val Loss, Test Loss
1,2.506829e-03,9.698499e-04,7.479759e-04
2,7.036780e-04,5.402000e-04,4.610428e-04
3,5.213393e-04,5.545392e-04,4.149785e-04
4,4.254851e-04,5.448738e-04,3.238031e-04
5,3.413479e-04,4.607913e-04,3.053481e-04
6,2.763919e-04,4.797703e-04,3.215549e-04
7,2.613800e-04,4.404726e-04,3.095909e-04
8,2.477824e-04,4.428950e-04,3.262302e-04
9,2.542189e-04,4.424705e-04,3.247363e-04
10,2.572392e-04,4.488569e-04,3.104988e-04
11,2.106152e-04,4.306970e-04,3.116030e-04
12,1.680196e-04,4.072090e-04,3.165172e-04
13,1.793118e-04,4.295369e-04,3.032911e-04
14,1.684172e-04,4.502990e-04,2.659853e-04
15,1.533782e-04,4.008378e-04,2.856108e-04
16,1.353241e-04,3.575512e-04,2.878986e-04
17,1.214485e-04,3.723895e-04,2.949128e-04
18,1.195373e-04,3.643928e-04,3.000329e-04
19,1.357071e-04,3.579562e-04,3.103180e-04
20,1.259060e-04,3.687581e-04,3.044053e-04
