Transformer Model Training Log
============================================================
d_model: 64, heads: 4, layers: 3, ff: 128, dropout: 0.2
============================================================

Epoch, Train Loss, Val Loss, Test Loss
1,7.318951e-03,2.927339e-04,3.126796e-04
2,4.212378e-04,2.517956e-04,2.688328e-04
3,3.235139e-04,2.476714e-04,2.660254e-04
4,3.032515e-04,2.467544e-04,2.625159e-04
5,2.906460e-04,2.490550e-04,2.628333e-04
6,2.871875e-04,2.453345e-04,2.605747e-04
7,2.806909e-04,2.489918e-04,2.614558e-04
8,2.700172e-04,2.451429e-04,2.628062e-04
9,2.943817e-04,2.510714e-04,2.628580e-04
10,2.769984e-04,2.493415e-04,2.617247e-04
11,2.811678e-04,2.493192e-04,2.601164e-04
12,2.849999e-04,2.449665e-04,2.577638e-04
13,2.674348e-04,2.483492e-04,2.602028e-04
14,2.617168e-04,2.348167e-04,2.675380e-04
15,2.634111e-04,2.395610e-04,2.677856e-04
16,2.761966e-04,2.396746e-04,2.680993e-04
17,2.839028e-04,2.481574e-04,2.599671e-04
18,2.806878e-04,2.486382e-04,2.599086e-04
19,2.743333e-04,2.506145e-04,2.614819e-04
20,2.755221e-04,2.445136e-04,2.583888e-04
