TCN Model Training Log
============================================================
TCN channels: [32, 32, 32], kernel_size: 3, dropout: 0.3
============================================================

Epoch, Train Loss, Val Loss, Test Loss
1,7.174680e-02,2.180868e-02,1.437827e-02
2,2.404498e-02,1.764452e-02,1.014206e-02
3,1.680382e-02,1.067977e-02,7.052989e-03
4,8.677337e-03,5.351124e-03,4.705592e-03
5,7.144457e-03,2.977011e-03,2.748081e-03
6,6.786835e-03,2.003053e-03,1.857797e-03
7,3.245171e-03,1.511241e-03,1.248076e-03
8,2.644020e-03,9.983862e-04,8.949208e-04
9,1.685616e-03,6.867584e-04,5.954523e-04
10,1.437439e-03,4.284563e-04,4.433885e-04
11,1.857180e-03,3.558051e-04,3.761922e-04
12,8.892309e-04,2.946741e-04,3.160096e-04
13,8.857979e-04,2.711677e-04,3.033410e-04
14,7.299376e-04,2.158543e-04,2.766992e-04
15,1.033941e-03,1.855906e-04,2.549048e-04
16,6.478179e-04,1.797618e-04,2.511842e-04
17,1.264403e-03,1.766931e-04,2.486838e-04
18,5.830117e-04,1.748185e-04,2.476751e-04
19,3.615125e-04,1.721880e-04,2.468904e-04
20,4.634638e-04,1.737254e-04,2.476733e-04
