TCN Model Training Log
============================================================
TCN channels: [32, 32, 32], kernel_size: 3, dropout: 0.3
============================================================

Epoch, Train Loss, Val Loss, Test Loss
1,5.373606e-02,2.714014e-02,1.435973e-02
2,3.280876e-02,1.918313e-02,1.040099e-02
3,1.429458e-02,1.055037e-02,7.166797e-03
4,8.329721e-03,7.177614e-03,4.506591e-03
5,8.137068e-03,5.112030e-03,3.162496e-03
6,5.127226e-03,3.701041e-03,2.093101e-03
7,2.947161e-03,3.262951e-03,1.392148e-03
8,2.999068e-03,2.218091e-03,9.665230e-04
9,2.097209e-03,1.271315e-03,6.277673e-04
10,1.325226e-03,9.736246e-04,4.522098e-04
11,1.786900e-03,7.815085e-04,3.510897e-04
12,1.103316e-03,6.010962e-04,3.245742e-04
13,9.106025e-04,4.885372e-04,2.986743e-04
14,6.804220e-04,4.115799e-04,2.632422e-04
15,6.575838e-04,3.565327e-04,2.588961e-04
16,7.883783e-04,3.411854e-04,2.630967e-04
17,6.842487e-04,3.245184e-04,2.619365e-04
18,6.118542e-04,3.157331e-04,2.580031e-04
19,6.172611e-04,3.172506e-04,2.575444e-04
20,4.577515e-04,2.987216e-04,2.568469e-04
