MLP Model Training Log
============================================================
hidden_dims: [256, 128, 64], dropout: 0.2
============================================================

Epoch, Train Loss, Val Loss, Test Loss
1,2.790022e-03,3.454712e-04,5.551149e-04
2,6.844371e-04,3.237852e-04,3.603895e-04
3,5.586919e-04,2.847222e-04,3.535035e-04
4,4.304109e-04,2.624979e-04,3.290683e-04
5,3.055497e-04,2.493425e-04,3.351468e-04
6,2.927521e-04,2.794095e-04,3.785425e-04
7,2.627855e-04,2.121894e-04,3.201577e-04
8,2.149287e-04,2.318567e-04,3.392437e-04
9,2.075444e-04,2.053911e-04,3.197100e-04
10,2.424813e-04,2.255006e-04,3.432934e-04
11,2.199709e-04,2.368601e-04,3.306497e-04
12,1.944311e-04,2.029116e-04,2.790247e-04
13,1.890543e-04,1.965941e-04,2.857516e-04
14,1.508485e-04,2.049664e-04,3.129057e-04
15,1.523555e-04,2.080890e-04,3.015376e-04
16,1.454447e-04,2.076589e-04,3.069910e-04
17,1.399960e-04,2.114858e-04,3.163970e-04
18,1.793838e-04,1.937945e-04,2.832262e-04
19,1.096985e-04,2.124736e-04,2.994192e-04
20,1.074822e-04,2.054135e-04,2.840680e-04
