Transformer Model Training Log
============================================================
d_model: 64, heads: 4, layers: 3, ff: 128, dropout: 0.2
============================================================

Epoch, Train Loss, Val Loss, Test Loss
1,4.869667e-03,1.765691e-04,2.699130e-04
2,4.132316e-04,1.872452e-04,2.687569e-04
3,3.301618e-04,1.726360e-04,2.561863e-04
4,3.254645e-04,1.716521e-04,2.531357e-04
5,3.201875e-04,1.731340e-04,2.519389e-04
6,3.034912e-04,1.705134e-04,2.528043e-04
7,3.005540e-04,1.709227e-04,2.536080e-04
8,3.102219e-04,1.766336e-04,2.525359e-04
9,2.836178e-04,1.704652e-04,2.519417e-04
10,3.006916e-04,1.715983e-04,2.500213e-04
11,2.823214e-04,1.705203e-04,2.533613e-04
12,3.031215e-04,1.715503e-04,2.515249e-04
13,3.019311e-04,1.708287e-04,2.526188e-04
14,2.828158e-04,1.706658e-04,2.525289e-04
15,2.871116e-04,1.719927e-04,2.610218e-04
16,2.904728e-04,1.707115e-04,2.527601e-04
17,2.868220e-04,1.724446e-04,2.548475e-04
18,3.011970e-04,1.711345e-04,2.500317e-04
19,2.915605e-04,1.713483e-04,2.602653e-04
20,3.208040e-04,1.710402e-04,2.491237e-04
