TCN Model Training Log
============================================================
TCN channels: [32, 32, 32], kernel_size: 3, dropout: 0.3
============================================================

Epoch, Train Loss, Val Loss, Test Loss
1,4.893053e-02,2.654653e-02,1.622661e-02
2,2.555730e-02,1.875620e-02,9.480584e-03
3,1.487359e-02,1.301259e-02,6.035815e-03
4,1.127727e-02,9.275306e-03,4.342088e-03
5,6.781374e-03,6.826047e-03,2.923540e-03
6,5.111172e-03,4.587739e-03,1.759641e-03
7,3.466209e-03,3.309114e-03,1.261948e-03
8,2.967129e-03,2.526052e-03,8.330096e-04
9,2.800229e-03,2.038267e-03,5.670082e-04
10,1.839783e-03,1.816980e-03,3.850257e-04
11,1.977517e-03,1.069225e-03,4.271294e-04
12,9.536383e-04,7.976140e-04,3.990445e-04
13,1.081055e-03,7.747269e-04,3.322008e-04
14,7.504324e-04,6.888806e-04,3.062076e-04
15,7.155669e-04,6.243911e-04,2.891374e-04
16,4.509205e-04,5.755269e-04,2.614913e-04
17,7.063538e-04,5.381408e-04,2.554440e-04
18,4.384607e-04,5.213479e-04,2.495695e-04
19,5.235834e-04,4.985263e-04,2.524221e-04
20,4.317360e-04,4.902070e-04,2.506009e-04
